# 큐텐 재팬에 팔 한국 제품 후보.
# sourceCostKrw = 한국 "사입가"(도매/세일가) 기준 — 소비자가 아님.
# promoRate = 메가와리 등 쿠폰 할인 부담분(0~1). 없으면 0.
# monthlySales = 월 판매량 추정, competitors = 같은 상품 파는 셀러 수.
name,category,source,sourceCostKrw,weightKg,market,sellPriceLocal,promoRate,monthlySales,competitors
조선미녀 릴리프 선 3개 묶음,뷰티,도매사입,19500,0.4,qoo10_jp,4980,0.1,1500,60
코스알엑스 스네일 에센스 2개,뷰티,도매사입,18000,0.35,qoo10_jp,4500,0.1,1100,45
아누아 어성초 토너 2개 묶음,뷰티,도매사입,22000,0.7,qoo10_jp,5200,0.1,1300,38
라네즈 립 슬리핑 마스크,뷰티,올리브영세일,11000,0.1,qoo10_jp,2600,0.1,900,80
삐아 라스트 벨벳 틴트 3개,뷰티,도매사입,12000,0.1,qoo10_jp,3200,0.0,700,55
토리든 다이브인 세럼,뷰티,도매사입,11500,0.2,qoo10_jp,3400,0.1,1600,30
메디힐 마스크팩 30매 대용량,뷰티,도매사입,15000,0.6,qoo10_jp,3900,0.0,1000,70
불닭볶음면 멀티팩,식품,도매사입,6500,0.9,qoo10_jp,1850,0.0,1200,90
마밀 핸드크림 단품,뷰티,쿠팡,5500,0.1,qoo10_jp,950,0.0,150,40
비비고 조미김 선물세트,식품,이마트,9000,0.5,qoo10_jp,1600,0.0,250,25
